B00, 0
S01, Blotteritem, {'type': 'Trade', 'time': 4745.333333333951, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4777.416666667167, 'price': 73, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4803.1666666670735, 'price': 85, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4830.083333333642, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4860.750000000197, 'price': 85, 'party1': 'B02', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4887.416666666767, 'price': 150.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4915.999999999996, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4945.666666666555, 'price': 110.0, 'party1': 'B03', 'party2': 'S01', 'qty': 1}
S01, Blotteritem, {'type': 'Trade', 'time': 4972.74999999979, 'price': 150.0, 'party1': 'B05', 'party2': 'S01', 'qty': 1}
S02, 9
S02, Blotteritem, {'type': 'Trade', 'time': 4516.000000001452, 'price': 150.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4544.750000001347, 'price': 130.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4658.083333334268, 'price': 130.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4772.8333333338505, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4801.833333333745, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4857.583333333542, 'price': 150.0, 'party1': 'B05', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4888.916666666762, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4944.0833333332275, 'price': 130.0, 'party1': 'B04', 'party2': 'S02', 'qty': 1}
S02, Blotteritem, {'type': 'Trade', 'time': 4973.58333333312, 'price': 110.0, 'party1': 'B03', 'party2': 'S02', 'qty': 1}
S03, 10
S03, Blotteritem, {'type': 'Trade', 'time': 4546.2500000013415, 'price': 110.0, 'party1': 'B03', 'party2': 'S03', 'qty': 1}
