1, 000278, 86, 106, GVWY, 977, 10, 97.700000, PRSH, 1175, 10, 117.500000, SHVR, 913, 10, 91.300000, ZIC, 413, 10, 41.300000, ZIP, 1398, 10, 139.800000, 86, 106, 
1, 000279, 81, 102, GVWY, 977, 10, 97.700000, PRSH, 1226, 10, 122.600000, SHVR, 913, 10, 91.300000, ZIC, 445, 10, 44.500000, ZIP, 1398, 10, 139.800000, 81, 102, 
1, 000289, 78, 102, GVWY, 977, 10, 97.700000, PRSH, 1277, 10, 127.700000, SHVR, 924, 10, 92.400000, ZIC, 445, 10, 44.500000, ZIP, 1398, 10, 139.800000, 78, 102, 
1, 000300, 1, 83, GVWY, 977, 10, 97.700000, PRSH, 1277, 10, 127.700000, SHVR, 924, 10, 92.400000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 1, 83, 
1, 000300, 66, 95, GVWY, 1002, 10, 100.200000, PRSH, 1277, 10, 127.700000, SHVR, 924, 10, 92.400000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 66, 95, 
1, 000300, 86, 120, GVWY, 1032, 10, 103.200000, PRSH, 1277, 10, 127.700000, SHVR, 924, 10, 92.400000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 86, 120, 
1, 000301, 87, 120, GVWY, 1034, 10, 103.400000, PRSH, 1277, 10, 127.700000, SHVR, 926, 10, 92.600000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 87, 120, 
1, 000301, 86, 120, GVWY, 1051, 10, 105.100000, PRSH, 1277, 10, 127.700000, SHVR, 951, 10, 95.100000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 86, 120, 
1, 000302, 104, 117, GVWY, 1051, 10, 105.100000, PRSH, 1294, 10, 129.400000, SHVR, 988, 10, 98.800000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 104, 117, 
1, 000303, 113, 115, GVWY, 1051, 10, 105.100000, PRSH, 1294, 10, 129.400000, SHVR, 1030, 10, 103.000000, ZIC, 482, 10, 48.200000, ZIP, 1398, 10, 139.800000, 113, 115, 
1, 000303, 109, 116, GVWY, 1051, 10, 105.100000, PRSH, 1316, 10, 131.600000, SHVR, 1030, 10, 103.000000, ZIC, 482, 10, 48.200000, ZIP, 1413, 10, 141.300000, 109, 116, 
1, 000304, 109, 116, GVWY, 1051, 10, 105.100000, PRSH, 1316, 10, 131.600000, SHVR, 1030, 10, 103.000000, ZIC, 482, 10, 48.200000, ZIP, 1438, 10, 143.800000, 109, 116, 
1, 000306, 104, 114, GVWY, 1051, 10, 105.100000, PRSH, 1316, 10, 131.600000, SHVR, 1030, 10, 103.000000, ZIC, 482, 10, 48.200000, ZIP, 1521, 10, 152.100000, 104, 114, 
1, 000307, 104, 114, GVWY, 1051, 10, 105.100000, PRSH, 1354, 10, 135.400000, SHVR, 1030, 10, 103.000000, ZIC, 535, 10, 53.500000, ZIP, 1521, 10, 152.100000, 104, 114, 
1, 000323, 93, 108, GVWY, 1051, 10, 105.100000, PRSH, 1354, 10, 135.400000, SHVR, 1030, 10, 103.000000, ZIC, 577, 10, 57.700000, ZIP, 1521, 10, 152.100000, 93, 108, 
1, 000323, 93, 114, GVWY, 1051, 10, 105.100000, PRSH, 1362, 10, 136.200000, SHVR, 1030, 10, 103.000000, ZIC, 577, 10, 57.700000, ZIP, 1538, 10, 153.800000, 93, 114, 
1, 000330, None, None, GVWY, 1051, 10, 105.100000, PRSH, 1362, 10, 136.200000, SHVR, 1030, 10, 103.000000, ZIC, 577, 10, 57.700000, ZIP, 1559, 10, 155.900000, N, N, 
1, 000330, 49, None, GVWY, 1076, 10, 107.600000, PRSH, 1362, 10, 136.200000, SHVR, 1030, 10, 103.000000, ZIC, 577, 10, 57.700000, ZIP, 1559, 10, 155.900000, 49, N, 
