B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B09, Blotteritem, {'type': 'Trade', 'time': 3396.7999999972008, 'price': 87, 'party1': 'B09', 'party2': 'S02', 'qty': 1}
B09, Blotteritem, {'type': 'Trade', 'time': 3695.1799999969294, 'price': 75, 'party1': 'B09', 'party2': 'S06', 'qty': 1}
B10, 32
B10, Blotteritem, {'type': 'Trade', 'time': 90.55999999999912, 'price': 77.0, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 147.28000000000154, 'price': 91.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 301.3200000000159, 'price': 71, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 511.239999999825, 'price': 91.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 931.4199999994429, 'price': 77, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 975.279999999403, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1008.9199999993724, 'price': 91.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1042.9999999993415, 'price': 91.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1225.8399999991752, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1262.379999999142, 'price': 88.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1442.2599999989784, 'price': 89.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1538.479999998891, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1638.0999999988003, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1883.519999998577, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 1952.7399999985141, 'price': 70, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 2232.5399999982596, 'price': 91.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 2301.6799999981968, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 2433.8199999980766, 'price': 72.0, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 2464.4599999980487, 'price': 90, 'party1': 'S07', 'party2': 'B10', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 2970.3999999975886, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3004.2999999975577, 'price': 69, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3095.159999997475, 'price': 78.0, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3154.859999997421, 'price': 91, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3357.4999999972365, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3538.179999997072, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3545.7399999970653, 'price': 91.0, 'party1': 'B10', 'party2': 'S05', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3718.2199999969084, 'price': 91.0, 'party1': 'B10', 'party2': 'S01', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3786.759999996846, 'price': 87, 'party1': 'B10', 'party2': 'S07', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 3996.0399999966558, 'price': 77, 'party1': 'B10', 'party2': 'S06', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 4359.440000002315, 'price': 91.0, 'party1': 'B10', 'party2': 'S00', 'qty': 1}
B10, Blotteritem, {'type': 'Trade', 'time': 4777.380000011438, 'price': 80, 'party1': 'B10', 'party2': 'S02', 'qty': 1}
