1, 000120, 155, 161, GVWY, 396, 20, 19.800000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 220, 20, 11.000000, ZIP, 253, 20, 12.650000, 155, 161, 
1, 000120, 148, 156, GVWY, 396, 20, 19.800000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 227, 20, 11.350000, ZIP, 265, 20, 13.250000, 148, 156, 
1, 000120, 148, 161, GVWY, 440, 20, 22.000000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 227, 20, 11.350000, ZIP, 270, 20, 13.500000, 148, 161, 
1, 000121, 154, 157, GVWY, 440, 20, 22.000000, PRSH, 413, 20, 20.650000, SNPR, 0, 20, 0.000000, ZIC, 259, 20, 12.950000, ZIP, 292, 20, 14.600000, 154, 157, 
1, 000121, 152, 157, GVWY, 440, 20, 22.000000, PRSH, 436, 20, 21.800000, SNPR, 0, 20, 0.000000, ZIC, 259, 20, 12.950000, ZIP, 306, 20, 15.300000, 152, 157, 
1, 000122, 155, 157, GVWY, 440, 20, 22.000000, PRSH, 457, 20, 22.850000, SNPR, 0, 20, 0.000000, ZIC, 259, 20, 12.950000, ZIP, 306, 20, 15.300000, 155, 157, 
1, 000122, 152, 157, GVWY, 457, 20, 22.850000, PRSH, 457, 20, 22.850000, SNPR, 0, 20, 0.000000, ZIC, 259, 20, 12.950000, ZIP, 316, 20, 15.800000, 152, 157, 
1, 000124, 148, 155, GVWY, 457, 20, 22.850000, PRSH, 460, 20, 23.000000, SNPR, 0, 20, 0.000000, ZIC, 297, 20, 14.850000, ZIP, 316, 20, 15.800000, 148, 155, 
1, 000124, 148, 158, GVWY, 457, 20, 22.850000, PRSH, 499, 20, 24.950000, SNPR, 0, 20, 0.000000, ZIC, 297, 20, 14.850000, ZIP, 330, 20, 16.500000, 148, 158, 
1, 000125, 137, 158, GVWY, 463, 20, 23.150000, PRSH, 499, 20, 24.950000, SNPR, 0, 20, 0.000000, ZIC, 297, 20, 14.850000, ZIP, 330, 20, 16.500000, 137, 158, 
1, 000128, 139, 167, GVWY, 463, 20, 23.150000, PRSH, 507, 20, 25.350000, SNPR, 0, 20, 0.000000, ZIC, 297, 20, 14.850000, ZIP, 333, 20, 16.650000, 139, 167, 
1, 000137, 130, 167, GVWY, 463, 20, 23.150000, PRSH, 507, 20, 25.350000, SNPR, 0, 20, 0.000000, ZIC, 320, 20, 16.000000, ZIP, 333, 20, 16.650000, 130, 167, 
1, 000150, 98, 216, GVWY, 463, 20, 23.150000, PRSH, 518, 20, 25.900000, SNPR, 0, 20, 0.000000, ZIC, 320, 20, 16.000000, ZIP, 333, 20, 16.650000, 98, 216, 
1, 000150, 136, 152, GVWY, 463, 20, 23.150000, PRSH, 518, 20, 25.900000, SNPR, 0, 20, 0.000000, ZIC, 338, 20, 16.900000, ZIP, 333, 20, 16.650000, 136, 152, 
1, 000150, 136, 152, GVWY, 491, 20, 24.550000, PRSH, 518, 20, 25.900000, SNPR, 0, 20, 0.000000, ZIC, 338, 20, 16.900000, ZIP, 334, 20, 16.700000, 136, 152, 
1, 000151, 136, 152, GVWY, 544, 20, 27.200000, PRSH, 518, 20, 25.900000, SNPR, 0, 20, 0.000000, ZIC, 338, 20, 16.900000, ZIP, 345, 20, 17.250000, 136, 152, 
1, 000151, 146, 154, GVWY, 544, 20, 27.200000, PRSH, 546, 20, 27.300000, SNPR, 0, 20, 0.000000, ZIC, 338, 20, 16.900000, ZIP, 345, 20, 17.250000, 146, 154, 
1, 000152, 146, 152, GVWY, 590, 20, 29.500000, PRSH, 546, 20, 27.300000, SNPR, 0, 20, 0.000000, ZIC, 338, 20, 16.900000, ZIP, 345, 20, 17.250000, 146, 152, 
1, 000153, 149, 157, GVWY, 590, 20, 29.500000, PRSH, 546, 20, 27.300000, SNPR, 0, 20, 0.000000, ZIC, 372, 20, 18.600000, ZIP, 345, 20, 17.250000, 149, 157, 
1, 000153, 149, 157, GVWY, 590, 20, 29.500000, PRSH, 549, 20, 27.450000, SNPR, 0, 20, 0.000000, ZIC, 372, 20, 18.600000, ZIP, 363, 20, 18.150000, 149, 157, 
1, 000154, 149, 157, GVWY, 590, 20, 29.500000, PRSH, 572, 20, 28.600000, SNPR, 0, 20, 0.000000, ZIC, 372, 20, 18.600000, ZIP, 377, 20, 18.850000, 149, 157, 
1, 000155, 150, 161, GVWY, 590, 20, 29.500000, PRSH, 608, 20, 30.400000, SNPR, 0, 20, 0.000000, ZIC, 372, 20, 18.600000, ZIP, 377, 20, 18.850000, 150, 161, 
1, 000158, 151, 161, GVWY, 590, 20, 29.500000, PRSH, 631, 20, 31.550000, SNPR, 0, 20, 0.000000, ZIC, 372, 20, 18.600000, ZIP, 377, 20, 18.850000, 151, 161, 
1, 000160, 154, 168, GVWY, 590, 20, 29.500000, PRSH, 631, 20, 31.550000, SNPR, 0, 20, 0.000000, ZIC, 397, 20, 19.850000, ZIP, 377, 20, 18.850000, 154, 168, 
1, 000161, 149, 168, GVWY, 590, 20, 29.500000, PRSH, 654, 20, 32.700000, SNPR, 0, 20, 0.000000, ZIC, 397, 20, 19.850000, ZIP, 393, 20, 19.650000, 149, 168, 
1, 000180, 125, 184, GVWY, 607, 20, 30.350000, PRSH, 654, 20, 32.700000, SNPR, 0, 20, 0.000000, ZIC, 397, 20, 19.850000, ZIP, 393, 20, 19.650000, 125, 184, 
1, 000180, 125, 165, GVWY, 607, 20, 30.350000, PRSH, 656, 20, 32.800000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 393, 20, 19.650000, 125, 165, 
1, 000180, 125, 153, GVWY, 618, 20, 30.900000, PRSH, 656, 20, 32.800000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 410, 20, 20.500000, 125, 153, 
1, 000180, 125, 153, GVWY, 618, 20, 30.900000, PRSH, 699, 20, 34.950000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 410, 20, 20.500000, 125, 153, 
1, 000180, 125, 165, GVWY, 662, 20, 33.100000, PRSH, 699, 20, 34.950000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 423, 20, 21.150000, 125, 165, 
1, 000181, 132, 155, GVWY, 662, 20, 33.100000, PRSH, 727, 20, 36.350000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 429, 20, 21.450000, 132, 155, 
1, 000181, 152, 155, GVWY, 681, 20, 34.050000, PRSH, 727, 20, 36.350000, SNPR, 0, 20, 0.000000, ZIC, 413, 20, 20.650000, ZIP, 432, 20, 21.600000, 152, 155, 
1, 000182, 149, 155, GVWY, 681, 20, 34.050000, PRSH, 727, 20, 36.350000, SNPR, 0, 20, 0.000000, ZIC, 448, 20, 22.400000, ZIP, 452, 20, 22.600000, 149, 155, 
1, 000188, 147, 154, GVWY, 681, 20, 34.050000, PRSH, 730, 20, 36.500000, SNPR, 0, 20, 0.000000, ZIC, 448, 20, 22.400000, ZIP, 452, 20, 22.600000, 147, 154, 
1, 000189, 147, 155, GVWY, 681, 20, 34.050000, PRSH, 730, 20, 36.500000, SNPR, 0, 20, 0.000000, ZIC, 456, 20, 22.800000, ZIP, 452, 20, 22.600000, 147, 155, 
1, 000189, 148, 156, GVWY, 681, 20, 34.050000, PRSH, 753, 20, 37.650000, SNPR, 0, 20, 0.000000, ZIC, 456, 20, 22.800000, ZIP, 453, 20, 22.650000, 148, 156, 
1, 000191, 148, 160, GVWY, 681, 20, 34.050000, PRSH, 753, 20, 37.650000, SNPR, 0, 20, 0.000000, ZIC, 488, 20, 24.400000, ZIP, 453, 20, 22.650000, 148, 160, 
1, 000191, 148, 166, GVWY, 681, 20, 34.050000, PRSH, 758, 20, 37.900000, SNPR, 0, 20, 0.000000, ZIC, 488, 20, 24.400000, ZIP, 453, 20, 22.650000, 148, 166, 
1, 000191, 132, 166, GVWY, 681, 20, 34.050000, PRSH, 774, 20, 38.700000, SNPR, 0, 20, 0.000000, ZIC, 488, 20, 24.400000, ZIP, 473, 20, 23.650000, 132, 166, 
1, 000196, 137, 166, GVWY, 681, 20, 34.050000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 488, 20, 24.400000, ZIP, 473, 20, 23.650000, 137, 166, 
1, 000210, 131, 141, GVWY, 681, 20, 34.050000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 507, 20, 25.350000, ZIP, 473, 20, 23.650000, 131, 141, 
1, 000210, 131, 148, GVWY, 681, 20, 34.050000, PRSH, 835, 20, 41.750000, SNPR, 0, 20, 0.000000, ZIC, 507, 20, 25.350000, ZIP, 500, 20, 25.000000, 131, 148, 
