B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 4
B12, Blotteritem, {'type': 'Trade', 'time': 239.6600000000488, 'price': 91, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 252.10000000005516, 'price': 97, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 595.1399999997487, 'price': 97, 'party1': 'B12', 'party2': 'S11', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 641.5999999997065, 'price': 97, 'party1': 'S10', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 708.139999999646, 'price': 94, 'party1': 'B12', 'party2': 'S09', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 751.2199999996068, 'price': 93, 'party1': 'B12', 'party2': 'S06', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 800.3599999995621, 'price': 97, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 832.4199999995329, 'price': 90, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 928.5799999994455, 'price': 92, 'party1': 'S02', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 934.7999999994398, 'price': 98, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1243.779999999159, 'price': 92, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1290.1399999991168, 'price': 97, 'party1': 'S07', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1340.539999999071, 'price': 97, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1609.779999998826, 'price': 100, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1625.339999998812, 'price': 92, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 1723.8199999987223, 'price': 93, 'party1': 'B12', 'party2': 'S01', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 2028.3199999984454, 'price': 99, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 2221.4399999982697, 'price': 83, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 2649.99999999788, 'price': 90, 'party1': 'S02', 'party2': 'B12', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 2704.89999999783, 'price': 97, 'party1': 'B12', 'party2': 'S04', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3000.2599999975614, 'price': 91, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3124.1399999974487, 'price': 81, 'party1': 'B12', 'party2': 'S07', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3154.419999997421, 'price': 60, 'party1': 'B12', 'party2': 'S00', 'qty': 1}
B12, Blotteritem, {'type': 'Trade', 'time': 3205.159999997375, 'price': 95, 'party1': 'B12', 'party2': 'S02', 'qty': 1}
